Manufacturing & Mechanical Pursuits,MALE,FEMALE
dressmaker,1,182
sempstress,0,119
whitewasher,48,53
hod carrier,96,0
wood sawyer,78,1
brick maker,66,0
shoemaker,66,0
sewing,0,57
rag cutter,1,48
boot & shoemaker,41,0
shirt maker,0,30
carpenter,28,0
oysterman,25,0
tailoress,0,20
tailor,18,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,